Function,Argument,Utterance
matplotlib.axes.Axes.annotate,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.annotate,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.annotate,weight,Set the font weight .
matplotlib.axes.Axes.annotate,wrap,Sets the wrapping state for the text .
matplotlib.axes.Axes.annotate,x,Set the x position of the text
matplotlib.axes.Axes.annotate,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.annotate,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.annotate,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.annotate,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.annotate,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.annotate,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.annotate,xy,"The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area .|||The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area . If True , the annotation will only be drawn when the xy is inside the axes . If False , the annotation will always be drawn regardless of its position . The default is None , which behave as True only if xycoords is "" data "" .|||position of element to annotate . See xycoords to control what coordinate system this value is interpretated in .|||xycoords and textcoords are strings that indicate the coordinates of xy and xytext , and may be one of the following values :|||position of element to annotate ."
matplotlib.axes.Axes.annotate,xycoords,"The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area .|||The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area . If True , the annotation will only be drawn when the xy is inside the axes . If False , the annotation will always be drawn regardless of its position . The default is None , which behave as True only if xycoords is "" data "" .|||xycoords and textcoords are strings that indicate the coordinates of xy and xytext , and may be one of the following values :|||string that indicates what type of coordinates xy is .|||string that indicates what type of coordinates xy is . Examples : "" figure points "" , "" figure pixels "" , "" figure fraction "" , "" axes points "" , ... See matplotlib.text.Annotation for more details ."
matplotlib.axes.Axes.annotate,xytext,"position of the label s. See textcoords to control what coordinate system this value is interpreted in .|||xycoords and textcoords are strings that indicate the coordinates of xy and xytext , and may be one of the following values :"
matplotlib.axes.Axes.annotate,y,Set the y position of the text
matplotlib.axes.Axes.annotate,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.annotate,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.annotate,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.annotate,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.annotate,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.annotate,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.annotate,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.arrow,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.arrow,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.arrow,alpha,Set the alpha tranparency of the patch .
matplotlib.axes.Axes.arrow,anchor,anchor
matplotlib.axes.Axes.arrow,animated,Set the artist 's animation state .
matplotlib.axes.Axes.arrow,antialiased,Set whether to use antialiased rendering
matplotlib.axes.Axes.arrow,aspect,aspect
matplotlib.axes.Axes.arrow,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.arrow,capstyle,Set the patch capstyle
matplotlib.axes.Axes.arrow,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.arrow,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.arrow,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.arrow,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.arrow,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.arrow,color,Set both the edgecolor and the facecolor .
matplotlib.axes.Axes.arrow,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.arrow,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.arrow,cursor_props,Set the cursor property as
matplotlib.axes.Axes.arrow,dx,"Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) .|||Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) . Uses FancyArrow patch to construct the arrow ."
matplotlib.axes.Axes.arrow,dy,"Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) .|||Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) . Uses FancyArrow patch to construct the arrow ."
matplotlib.axes.Axes.arrow,edgecolor,Set the patch edge color
matplotlib.axes.Axes.arrow,facecolor,Set the patch face color
matplotlib.axes.Axes.arrow,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.arrow,fill,Set whether to fill the patch
matplotlib.axes.Axes.arrow,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.arrow,hatch,Set the hatching pattern
matplotlib.axes.Axes.arrow,joinstyle,Set the patch joinstyle
matplotlib.axes.Axes.arrow,label,Set the label to s for auto legend .
matplotlib.axes.Axes.arrow,linestyle,Set the patch linestyle
matplotlib.axes.Axes.arrow,linewidth,Set the patch linewidth in points
matplotlib.axes.Axes.arrow,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.arrow,picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.arrow,position,Set the axes position with
matplotlib.axes.Axes.arrow,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.arrow,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.arrow,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.arrow,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.arrow,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.arrow,snap,Sets the snap setting which may be
matplotlib.axes.Axes.arrow,title,Set a title for the axes .
matplotlib.axes.Axes.arrow,transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.arrow,url,Sets the url for the artist
matplotlib.axes.Axes.arrow,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.arrow,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.arrow,x,"Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) .|||Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) . Uses FancyArrow patch to construct the arrow ."
matplotlib.axes.Axes.arrow,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.arrow,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.arrow,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.arrow,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.arrow,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.arrow,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.arrow,y,"Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) .|||Draws arrow on specified axis from ( x , y ) to ( x + dx , y + dy ) . Uses FancyArrow patch to construct the arrow ."
matplotlib.axes.Axes.arrow,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.arrow,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.arrow,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.arrow,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.arrow,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.arrow,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.arrow,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.autoscale_view,scaley,"Autoscale the view limits using the data limits . You can selectively autoscale only a single axis , e.g. , the xaxis by setting scaley to False . The autoscaling preserves any axis direction reversal that has already been done .|||Autoscale the view limits using the data limits ."
matplotlib.axes.Axes.axhline,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.axhline,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.axhline,alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.axes.Axes.axhline,anchor,anchor
matplotlib.axes.Axes.axhline,animated,Set the artist 's animation state .
matplotlib.axes.Axes.axhline,antialiased,True if line should be drawin with antialiased rendering
matplotlib.axes.Axes.axhline,aspect,aspect
matplotlib.axes.Axes.axhline,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.axhline,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.axhline,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.axhline,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.axhline,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.axhline,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.axhline,color,Set the color of the line
matplotlib.axes.Axes.axhline,color_cycle,Set the color cycle for any future plot commands on this Axes .
