Function,Utterance
matplotlib.axis.Axis.get_smart_bounds,get whether the axis has smart bounds
matplotlib.axis.Axis.get_ticklabel_extents,Get the extents of the tick labels on either side of the axes .
matplotlib.axis.Axis.get_ticklabels,Get the x tick labels as a list of Text instances .
matplotlib.axis.Axis.get_ticklines,Return the tick lines as a list of Line2D instances
matplotlib.axis.Axis.get_ticklocs,Get the tick locations in data coordinates as a numpy array
matplotlib.axis.Axis.get_tightbbox,Return a bounding box that encloses the axis .
matplotlib.axis.Axis.get_units,return the units for axis
matplotlib.axis.Axis.get_view_interval,return the Interval instance for this axis view limits
matplotlib.axis.Axis.grid,Set the axis grid on or off ; b is a boolean .
matplotlib.axis.Axis.iter_ticks,Iterate through all of the major and minor ticks .
matplotlib.axis.Axis.pan,Pan numsteps ( can be positive or negative )
matplotlib.axis.Axis.set_data_interval,set the axis data limits
matplotlib.axis.Axis.set_default_intervals,set the default limits for the axis data and view interval if they are not mutated
matplotlib.axis.Axis.set_label_coords,Set the coordinates of the label .
matplotlib.axis.Axis.set_label_text,Sets the text value of the axis label
matplotlib.axis.Axis.set_major_formatter,Set the formatter of the major ticker
matplotlib.axis.Axis.set_major_locator,Set the locator of the major ticker
matplotlib.axis.Axis.set_minor_formatter,Set the formatter of the minor ticker
matplotlib.axis.Axis.set_minor_locator,Set the locator of the minor ticker
matplotlib.axis.Axis.set_pickradius,Set the depth of the axis used by the picker
matplotlib.axis.Axis.set_smart_bounds,set the axis to have smart bounds
matplotlib.axis.Axis.set_tick_params,Set appearance parameters for ticks and ticklabels .
matplotlib.axis.Axis.set_ticklabels,Set the text values of the tick labels .
matplotlib.axis.Axis.set_ticks,Set the locations of the tick marks from sequence ticks
matplotlib.axis.Axis.set_units,set the units for axis
matplotlib.axis.Axis.update_units,introspect data for units converter and update the axis.converter instance if necessary .
matplotlib.axis.Axis.zoom,"Zoom in/out on axis ; if direction is >0 zoom in , else zoom out"
matplotlib.axis.Tick.apply_tickdir,Calculate self._pad and self._tickmarkers
matplotlib.axis.Tick.contains,Test whether the mouse event occurred in the Tick marks .
matplotlib.axis.Tick.get_loc,Return the tick location ( data coords ) as a scalar
matplotlib.axis.Tick.get_pad,Get the value of the tick label pad in points
matplotlib.axis.Tick.get_view_interval,return the view Interval instance for the axis this tick is ticking
matplotlib.axis.Tick.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.axis.Tick.set_label,Set the text of ticklabel
matplotlib.axis.Tick.set_label1,Set the text of ticklabel
matplotlib.axis.Tick.set_label2,Set the text of ticklabel2
matplotlib.axis.Tick.set_pad,Set the tick label pad in points
matplotlib.axis.XAxis.contains,Test whether the mouse event occured in the x axis .
matplotlib.axis.XAxis.get_data_interval,return the Interval instance for this axis data limits
matplotlib.axis.XAxis.get_label_position,Return the label position ( top or bottom )
matplotlib.axis.XAxis.get_text_heights,Returns the amount of space one should reserve for text above and below the axes .
matplotlib.axis.XAxis.get_ticks_position,"Return the ticks position ( top , bottom , default or unknown )"
matplotlib.axis.XAxis.get_view_interval,return the Interval instance for this axis view limits
matplotlib.axis.XAxis.set_data_interval,set the axis data limits
matplotlib.axis.XAxis.set_default_intervals,set the default limits for the axis interval if they are not mutated
matplotlib.axis.XAxis.set_label_position,Set the label position ( top or bottom )
matplotlib.axis.XAxis.set_ticks_position,"Set the ticks position ( top , bottom , both , default or none ) both sets the ticks to appear on both positions , but does not change the tick labels ."
matplotlib.axis.XAxis.set_view_interval,"If ignore is False , the order of vmin , vmax does not matter ; the original axis orientation will be preserved ."
matplotlib.axis.XAxis.tick_bottom,use ticks only on bottom
matplotlib.axis.XAxis.tick_top,use ticks only on top
matplotlib.axis.XTick.get_view_interval,return the Interval instance for this axis view limits
matplotlib.axis.XTick.update_position,Set the location of tick in data coords with scalar loc
matplotlib.axis.YAxis.contains,Test whether the mouse event occurred in the y axis .
matplotlib.axis.YAxis.get_data_interval,return the Interval instance for this axis data limits
matplotlib.axis.YAxis.get_label_position,Return the label position ( left or right )
matplotlib.axis.YAxis.get_ticks_position,"Return the ticks position ( left , right , both or unknown )"
matplotlib.axis.YAxis.get_view_interval,return the Interval instance for this axis view limits
matplotlib.axis.YAxis.set_data_interval,set the axis data limits
matplotlib.axis.YAxis.set_default_intervals,set the default limits for the axis interval if they are not mutated
matplotlib.axis.YAxis.set_label_position,Set the label position ( left or right )
matplotlib.axis.YAxis.set_ticks_position,"Set the ticks position ( left , right , both , default or none ) ' both ' sets the ticks to appear on both positions , but does not change the tick labels ."
matplotlib.axis.YAxis.set_view_interval,"If ignore is False , the order of vmin , vmax does not matter ; the original axis orientation will be preserved ."
matplotlib.axis.YAxis.tick_left,use ticks only on left
matplotlib.axis.YAxis.tick_right,use ticks only on right
matplotlib.axis.YTick.get_view_interval,return the Interval instance for this axis view limits
matplotlib.axis.YTick.update_position,Set the location of tick in data coords with scalar loc
matplotlib.backend_bases.FigureCanvasBase.blit,blit the canvas in bbox ( default entire canvas )
matplotlib.backend_bases.FigureCanvasBase.button_press_event,Backend derived classes should call this function on any mouse button press .
matplotlib.backend_bases.FigureCanvasBase.button_release_event,Backend derived classes should call this function on any mouse button release .
matplotlib.backend_bases.FigureCanvasBase.close_event,This method will be called by all functions connected to the ' close_event ' with a CloseEvent
matplotlib.backend_bases.FigureCanvasBase.draw,Render the Figure
matplotlib.backend_bases.FigureCanvasBase.draw_cursor,Draw a cursor in the event.axes if inaxes is not None .
matplotlib.backend_bases.FigureCanvasBase.draw_event,This method will be call all functions connected to the ' draw_event ' with a DrawEvent
matplotlib.backend_bases.FigureCanvasBase.draw_idle,draw ( ) only if idle ; defaults to draw but backends can overrride
matplotlib.backend_bases.FigureCanvasBase.enter_notify_event,Backend derived classes should call this function when entering canvas
matplotlib.backend_bases.FigureCanvasBase.flush_events,Flush the GUI events for the figure .
matplotlib.backend_bases.FigureCanvasBase.get_default_filename,"Return a string , which includes extension , suitable for use as a default filename ."
matplotlib.backend_bases.FigureCanvasBase.get_width_height,"Return the figure width and height in points or pixels ( depending on the backend ) , truncated to integers"
matplotlib.backend_bases.FigureCanvasBase.get_window_title,Get the title text of the window containing the figure .
matplotlib.backend_bases.FigureCanvasBase.grab_mouse,Set the child axes which are currently grabbing the mouse events .
matplotlib.backend_bases.FigureCanvasBase.idle_event,Called when GUI is idle .
matplotlib.backend_bases.FigureCanvasBase.is_saving,"Returns True when the renderer is in the process of saving to a file , rather than rendering for an on-screen buffer ."
matplotlib.backend_bases.FigureCanvasBase.key_press_event,This method will be call all functions connected to the ' key_press_event ' with a KeyEvent
matplotlib.backend_bases.FigureCanvasBase.key_release_event,This method will be call all functions connected to the ' key_release_event ' with a KeyEvent
matplotlib.backend_bases.FigureCanvasBase.leave_notify_event,Backend derived classes should call this function when leaving canvas
matplotlib.backend_bases.FigureCanvasBase.motion_notify_event,Backend derived classes should call this function on any motion-notify-event .
matplotlib.backend_bases.FigureCanvasBase.mpl_connect,Connect event with string s to func .
matplotlib.backend_bases.FigureCanvasBase.mpl_disconnect,Disconnect callback id cid
matplotlib.backend_bases.FigureCanvasBase.new_timer,Creates a new backend-specific subclass of backend_bases.Timer .
matplotlib.backend_bases.FigureCanvasBase.onHilite,Mouse event processor which highlights the artists under the cursor .
matplotlib.backend_bases.FigureCanvasBase.onRemove,Mouse event processor which removes the top artist under the cursor .
matplotlib.backend_bases.FigureCanvasBase.pick_event,This method will be called by artists who are picked and will fire off PickEvent callbacks registered listeners
matplotlib.backend_bases.FigureCanvasBase.print_figure,Render the figure to hardcopy .
matplotlib.backend_bases.FigureCanvasBase.release_mouse,"Release the mouse grab held by the axes , ax ."
matplotlib.backend_bases.FigureCanvasBase.resize,set the canvas size in pixels
matplotlib.backend_bases.FigureCanvasBase.resize_event,This method will be call all functions connected to the ' resize_event ' with a ResizeEvent
matplotlib.backend_bases.FigureCanvasBase.scroll_event,Backend derived classes should call this function on any scroll wheel event .
matplotlib.backend_bases.FigureCanvasBase.set_window_title,Set the title text of the window containing the figure .
matplotlib.backend_bases.FigureCanvasBase.start_event_loop,Start an event loop .
matplotlib.backend_bases.FigureCanvasBase.start_event_loop_default,Start an event loop .
matplotlib.backend_bases.FigureCanvasBase.stop_event_loop,Stop an event loop .
matplotlib.backend_bases.FigureCanvasBase.stop_event_loop_default,Stop an event loop .
matplotlib.backend_bases.FigureCanvasBase.switch_backends,Instantiate an instance of FigureCanvasClass
matplotlib.backend_bases.FigureManagerBase.get_window_title,Get the title text of the window containing the figure .
matplotlib.backend_bases.FigureManagerBase.key_press,Implement the default mpl key bindings defined at Navigation Keyboard Shortcuts
matplotlib.backend_bases.FigureManagerBase.resize,""" For gui backends , resize the window ( in pixels ) ."
matplotlib.backend_bases.FigureManagerBase.set_window_title,Set the title text of the window containing the figure .
matplotlib.backend_bases.FigureManagerBase.show,"For GUI backends , show the figure window and redraw ."
matplotlib.backend_bases.FigureManagerBase.show_popup,Display message in a popup - - GUI only
matplotlib.backend_bases.GraphicsContextBase.copy_properties,Copy properties from gc to self
matplotlib.backend_bases.GraphicsContextBase.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.backend_bases.GraphicsContextBase.get_antialiased,Return true if the object should try to do antialiased rendering
matplotlib.backend_bases.GraphicsContextBase.get_capstyle,"Return the capstyle as a string in ( ' butt ' , ' round ' , ' projecting ' )"
matplotlib.backend_bases.GraphicsContextBase.get_clip_path,"Return the clip path in the form ( path , transform ) , where path is a Path instance , and transform is an affine transform to apply to the path before clipping ."
matplotlib.backend_bases.GraphicsContextBase.get_clip_rectangle,Return the clip rectangle as a Bbox instance
matplotlib.backend_bases.GraphicsContextBase.get_dashes,Return the dash information as an offset dashlist tuple .
matplotlib.backend_bases.GraphicsContextBase.get_forced_alpha,Return whether the value given by get_alpha ( ) should be used to override any other alpha-channel values .
matplotlib.backend_bases.GraphicsContextBase.get_gid,"Return the object identifier if one is set , None otherwise ."
matplotlib.backend_bases.GraphicsContextBase.get_hatch,Gets the current hatch style
matplotlib.backend_bases.GraphicsContextBase.get_hatch_path,Returns a Path for the current hatch .
matplotlib.backend_bases.GraphicsContextBase.get_joinstyle,"Return the line join style as one of ( ' miter ' , ' round ' , ' bevel ' )"
matplotlib.backend_bases.GraphicsContextBase.get_linestyle,Return the linestyle
matplotlib.backend_bases.GraphicsContextBase.get_linewidth,Return the line width in points as a scalar
matplotlib.backend_bases.GraphicsContextBase.get_rgb,returns a tuple of three or four floats from 0-1 .
matplotlib.backend_bases.GraphicsContextBase.get_sketch_params,Returns the sketch parameters for the artist .
